mse,mae,rmse,rse,mape,wape,smape,mse_in_range,config,dataset,run,note
0.0007385917830068254,0.005432200060440959,0.027177045148559204,0.13265767232861386,1.1829746161684211,0.25863615717983357,82.34317131581084,0.0004459813062567264,perflow_only,GEANT,1,
0.0007237568454452149,0.0055067059427013655,0.02690272933078008,0.1299931852176797,1.2896246746800832,0.2621835072149426,81.43339331164941,0.00044400652404874563,static_average,GEANT,1,
0.0009161430523779775,0.005865686697970782,0.030267855100386244,0.16454746403179357,1.588404313384219,0.2792751831494367,86.74189796038952,0.00045601947931572795,best_single_val,GEANT,1,xgboost
0.0008538535976004646,0.005507560324171037,0.029220773391552535,0.1533597223434637,1.2256199016657285,0.262224185749905,81.18522015914384,0.00044541709939949214,context_gate,GEANT,1,
0.0007289366332597172,0.005446293093852392,0.026998826516345432,0.13092352131190302,1.1873053316386497,0.25930715014106187,82.16317827786501,0.0004470239218790084,full,GEANT,2,
0.0007270188163716176,0.0057360445119497335,0.026963286453465157,0.1305790642922323,1.527917819957898,0.27310270120329955,83.89386985232878,0.00044575741048902273,no_stwaveformer,GEANT,2,
0.0007218293697118448,0.005430019482745824,0.026866882396583434,0.12964699338324334,1.1399548136691353,0.2585323362179347,84.34220469143916,0.0004565934941638261,no_xgboost,GEANT,2,
0.0007656083227524594,0.005429962607590885,0.02766962816433317,0.13751008384941218,1.1296693374581688,0.25852962829640225,81.94928498584025,0.0004480813513509929,no_lightgbm_res,GEANT,2,
0.0007289366332597172,0.005446293093852392,0.026998826516345432,0.13092352131190302,1.1873053316386497,0.25930715014106187,82.16317827786501,0.0004470239218790084,global_only,GEANT,2,
0.0007458863643398461,0.0054475611392342214,0.02731092023971082,0.1339678442023258,1.1874380908776379,0.2593675239087871,82.16619689472412,0.00044620095286518335,perflow_only,GEANT,2,
0.000726180711548455,0.005516707917949789,0.026947740379268444,0.130428533190254,1.2858380697487384,0.26265971803444066,81.94211370741637,0.0004451025743037462,static_average,GEANT,2,
0.0009139937352479295,0.005868294323245699,0.030232329305694087,0.16416142750373006,1.5658061813972173,0.2793993365629645,85.87189973546423,0.0004546905984170735,best_single_val,GEANT,2,xgboost
0.0008574321734317809,0.005513355665175939,0.02928194278786469,0.15400246648299534,1.221610955032655,0.2625001116566053,81.7566172626909,0.00044482259545475245,context_gate,GEANT,2,
0.0007197942865256164,0.005454072125122857,0.02682898221188453,0.12928147429043527,1.2120826148750161,0.25967752286886814,84.73852810390599,0.0004459814226720482,full,GEANT,3,
0.0007256193402529826,0.005727764270417695,0.026937322440305434,0.13032770589826018,1.533849047272728,0.2727084650141792,83.63747285790988,0.0004447611281648278,no_stwaveformer,GEANT,3,
0.0007226051010091371,0.005439131798235906,0.026881315090767733,0.12978632164361514,1.1670589208400957,0.2589661888439688,86.20564834018523,0.0004562101967167109,no_xgboost,GEANT,3,
0.0007553647928483757,0.00542982677209947,0.027483900611965102,0.13567025450826753,1.1341328675208904,0.2585231609407973,84.37898961062457,0.0004480908974073827,no_lightgbm_res,GEANT,3,
0.0007197942865256164,0.005454072125122857,0.02682898221188453,0.12928147429043527,1.2120826148750161,0.25967752286886814,84.73852810390599,0.0004459814226720482,global_only,GEANT,3,
0.0007385035276369819,0.005455437445768083,0.027175421388397677,0.13264182087696857,1.2123031323620264,0.2597425280750591,84.74138862481783,0.00044491447624750435,perflow_only,GEANT,3,
0.000720281975749109,0.0054991270722812334,0.026838069523516573,0.1293690676250712,1.2746960263485851,0.2618226644809827,84.64578685722142,0.0004445914819370955,static_average,GEANT,3,
0.0009094668430691021,0.005850683380852245,0.030157367973168713,0.16334835728938096,1.5660857054250725,0.278560850053948,85.049716704894,0.00045418026275001466,best_single_val,GEANT,3,xgboost
0.000851240566754311,0.0055121013060319005,0.029176027261337535,0.15289039869574803,1.225962618734868,0.2624403895136195,84.00727367424336,0.0004451214335858822,context_gate,GEANT,3,
0.0007238890448002626,0.005436667332409302,0.02690518620638524,0.1300169294010398,1.1932349689133017,0.25884885149191966,83.31851695027423,0.0004440748307388276,full,GEANT,4,
0.0007279631152068408,0.005727220554392615,0.02698079159711295,0.1307486687860074,1.535371885008049,0.27268257778216287,83.05038761051105,0.00044368344242684543,no_stwaveformer,GEANT,4,
0.0007211820348001727,0.005424935375887298,0.026854832615381775,0.12953072625900067,1.1552054778604393,0.25829027336201077,84.46501278355012,0.00045349111314862967,no_xgboost,GEANT,4,
0.0007617705607102474,0.005421998176972796,0.027600191316551545,0.13682078755451113,1.128899890799041,0.25815042839465546,83.12995369782038,0.0004460901254788041,no_lightgbm_res,GEANT,4,
0.0007238890448002626,0.005436667332409302,0.02690518620638524,0.1300169294010398,1.1932349689133017,0.25884885149191966,83.31851695027423,0.0004440748307388276,global_only,GEANT,4,
0.0007428510410485877,0.0054382504034863515,0.027255293816955774,0.13342267306469963,1.193399936778709,0.2589242241614375,83.32225121098344,0.00044319540029391646,perflow_only,GEANT,4,
0.000722881802170361,0.005497963290587033,0.026886461317368656,0.12983601964029357,1.2805590128890272,0.2617672548823237,83.58099950280062,0.0004422977508511394,static_average,GEANT,4,
0.0009138028344869792,0.005842392517586788,0.030229171912028605,0.1641271400242643,1.5534384730467259,0.27816610814628207,84.12689828813697,0.0004528702120296657,best_single_val,GEANT,4,xgboost
